accuracy,precision,recall,f1
1,0.8746,0.8780,0.8746,0.8743
2,0.8465,0.8482,0.8465,0.8463
3,0.8675,0.8700,0.8675,0.8673
4,0.8508,0.8629,0.8508,0.8495
5,0.8728,0.8728,0.8728,0.8728
