accuracy,precision,recall,f1
1,0.8729,0.8760,0.8729,0.8726
2,0.8725,0.8744,0.8725,0.8723
3,0.8637,0.8637,0.8637,0.8637
4,0.8589,0.8590,0.8589,0.8589
5,0.8762,0.8763,0.8762,0.8762
